source_id,jci_name,description,sensor_type,unit,type,data_type,name
510_0_3014112,BioLib 1stFl RM-135.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA129 AHTG SP
510_0_3014117,BioLib 1stFl RM-135.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA129 DMPRPOS
510_0_3014125,BioLib 1stFl RM-135.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA129 SA VP
510_0_3014127,BioLib 1stFl RM-135.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA129 SUPFLOW
510_0_3014129,BioLib 1stFl RM-135.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA129 WC ADJ
510_0_3014130,BioLib 1stFl RM-135.ZN-T,Zone Temperature \ conference rm,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA129 ZN T
510_0_3014131,BioLib 1stFl RM-138D.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA130 ACLG SP
510_0_3014132,BioLib 1stFl RM-138D.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA130 AHTG SP
510_0_3014137,BioLib 1stFl RM-138D.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA130 DMPRPOS
510_0_3014145,BioLib 1stFl RM-138D.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA130 SA VP
510_0_3014147,BioLib 1stFl RM-138D.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA130 SUPFLOW
510_0_3014149,BioLib 1stFl RM-138D.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA130 WC ADJ
510_0_3014150,BioLib 1stFl RM-138D.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA130 ZN T
510_0_3014151,BioLib 1stFl RM-138C.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA131 ACLG SP
510_0_3014152,BioLib 1stFl RM-138C.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA131 AHTG SP
510_0_3014157,BioLib 1stFl RM-138C.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA131 DMPRPOS
510_0_3014165,BioLib 1stFl RM-138C.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA131 SA VP
510_0_3014167,BioLib 1stFl RM-138C.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA131 SUPFLOW
510_0_3014169,BioLib 1stFl RM-138C.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA131 WC ADJ
510_0_3014170,BioLib 1stFl RM-138C.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA131 ZN T
510_0_3014171,BioLib 1stFl RM-133.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA132 ACLG SP
510_0_3014172,BioLib 1stFl RM-133.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA132 AHTG SP
510_0_3014177,BioLib 1stFl RM-133.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA132 DMPRPOS
510_0_3014185,BioLib 1stFl RM-133.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA132 SA VP
510_0_3014187,BioLib 1stFl RM-133.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA132 SUPFLOW
510_0_3014189,BioLib 1stFl RM-133.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA132 WC ADJ
510_0_3014190,BioLib 1stFl RM-133.ZN-T,Zone Temp \ srvs  rm 132 & rm 136,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA132 ZN T
510_0_3014191,BioLib 1stFl RM-119.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA133 ACLG SP
510_0_3014192,BioLib 1stFl RM-119.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA133 AHTG SP
510_0_3014197,BioLib 1stFl RM-119.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA133 DMPRPOS
510_0_3014205,BioLib 1stFl RM-119.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA133 SA VP
510_0_3014207,BioLib 1stFl RM-119.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA133 SUPFLOW
510_0_3014209,BioLib 1stFl RM-119.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA133 WC ADJ
510_0_3014210,BioLib 1stFl RM-119.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA133 ZN T
510_0_3014211,BioLib 1stFl RM-138J.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA134 ACLG SP
510_0_3014212,BioLib 1stFl RM-138J.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA134 AHTG SP
510_0_3014217,BioLib 1stFl RM-138J.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA134 DMPRPOS
510_0_3014225,BioLib 1stFl RM-138J.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA134 SA VP
510_0_3014227,BioLib 1stFl RM-138J.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA134 SUPFLOW
510_0_3014229,BioLib 1stFl RM-138J.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA134 WC ADJ
510_0_3014230,BioLib 1stFl RM-138J.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA134 ZN T
510_0_3014231,1BioLib 1stFl RM-38H.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA135 ACLG SP
510_0_3014232,1BioLib 1stFl RM-38H.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA135 AHTG SP
510_0_3014237,1BioLib 1stFl RM-38H.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA135 DMPRPOS
510_0_3014245,1BioLib 1stFl RM-38H.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA135 SA VP
510_0_3014247,1BioLib 1stFl RM-38H.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA135 SUPFLOW
510_0_3014249,1BioLib 1stFl RM-38H.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA135 WC ADJ
510_0_3014250,1BioLib 1stFl RM-38H.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA135 ZN T
510_0_3014251,BioLib 1stFl RM-138G.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA136 ACLG SP
510_0_3014252,BioLib 1stFl RM-138G.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA136 AHTG SP
510_0_3014257,BioLib 1stFl RM-138G.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA136 DMPRPOS
510_0_3014265,BioLib 1stFl RM-138G.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA136 SA VP
510_0_3014267,BioLib 1stFl RM-138G.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA136 SUPFLOW
510_0_3014269,BioLib 1stFl RM-138G.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA136 WC ADJ
510_0_3014270,BioLib 1stFl RM-138G.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA136 ZN T
510_0_3014271,BioLib 1stFl RM-125.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA137 ACLG SP
510_0_3014275,BioLib 1stFl RM-125.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA137 DMPRPOS
510_0_3014282,BioLib 1stFl RM-125.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA137 SA VP
510_0_3014284,BioLib 1stFl RM-125.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA137 SUPFLOW
510_0_3014286,BioLib 1stFl RM-125.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA137 WC ADJ
510_0_3014287,BioLib 1stFl RM-125.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA137 ZN T
510_0_3014288,BioLib 1stFl RM-138F.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA138 ACLG SP
510_0_3014289,BioLib 1stFl RM-138F.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA138 AHTG SP
510_0_3014294,BioLib 1stFl RM-138F.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA138 DMPRPOS
510_0_3014302,BioLib 1stFl RM-138F.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA138 SA VP
510_0_3014304,BioLib 1stFl RM-138F.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA138 SUPFLOW
510_0_3014306,BioLib 1stFl RM-138F.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA138 WC ADJ
510_0_3014307,BioLib 1stFl RM-138F.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA138 ZN T
510_0_3014308,BioLib 1stFl RM-128.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA139 ACLG SP
510_0_3014309,BioLib 1stFl RM-128.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA139 AHTG SP
510_0_3014314,BioLib 1stFl RM-128.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA139 DMPRPOS
510_0_3014322,BioLib 1stFl RM-128.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA139 SA VP
510_0_3014324,BioLib 1stFl RM-128.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA139 SUPFLOW
510_0_3014326,BioLib 1stFl RM-128.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA139 WC ADJ
510_0_3014327,BioLib 1stFl RM-128.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA139 ZN T
510_0_3014328,BioLib 1stFl RM-138E.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA140 ACLG SP
510_0_3014329,BioLib 1stFl RM-138E.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA140 AHTG SP
510_0_3014334,BioLib 1stFl RM-138E.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA140 DMPRPOS
510_0_3014342,BioLib 1stFl RM-138E.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA140 SA VP
510_0_3014344,BioLib 1stFl RM-138E.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA140 SUPFLOW
510_0_3014346,BioLib 1stFl RM-138E.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA140 WC ADJ
510_0_3014347,BioLib 1stFl RM-138E.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA140 ZN T
510_0_3014348,BioLib 1stFl RM-121.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA141 ACLG SP
510_0_3014352,BioLib 1stFl RM-121.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA141 DMPRPOS
510_0_3014359,BioLib 1stFl RM-121.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA141 SA VP
510_0_3014361,BioLib 1stFl RM-121.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA141 SUPFLOW
510_0_3014363,BioLib 1stFl RM-121.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA141 WC ADJ
510_0_3014364,BioLib 1stFl RM-121.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA141 ZN T
510_0_3014365,BioLib 1stFl RM-123.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA142 ACLG SP
510_0_3014366,BioLib 1stFl RM-123.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA142 AHTG SP
510_0_3014371,BioLib 1stFl RM-123.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA142 DMPRPOS
510_0_3014379,BioLib 1stFl RM-123.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA142 SA VP
510_0_3014381,BioLib 1stFl RM-123.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA142 SUPFLOW
510_0_3014383,BioLib 1stFl RM-123.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA142 WC ADJ
510_0_3014384,BioLib 1stFl RM-123.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA142 ZN T
510_0_3014385,BioLib 1stFl RM-117B.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA143 ACLG SP
510_0_3014386,BioLib 1stFl RM-117B.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA143 AHTG SP
510_0_3014391,BioLib 1stFl RM-117B.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA143 DMPRPOS
510_0_3014399,BioLib 1stFl RM-117B.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA143 SA VP
510_0_3014401,BioLib 1stFl RM-117B.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA143 SUPFLOW
510_0_3014403,BioLib 1stFl RM-117B.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA143 WC ADJ
510_0_3014404,BioLib 1stFl RM-117B.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA143 ZN T
510_0_3014405,BioLib 1stFl RM-141A.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA144 ACLG SP
510_0_3014406,BioLib 1stFl RM-141A.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA144 AHTG SP
510_0_3014411,BioLib 1stFl RM-141A.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA144 DMPRPOS
510_0_3014419,BioLib 1stFl RM-141A.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA144 SA VP
510_0_3014421,BioLib 1stFl RM-141A.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA144 SUPFLOW
510_0_3014423,BioLib 1stFl RM-141A.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA144 WC ADJ
510_0_3014424,BioLib 1stFl RM-141A.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA144 ZN T
510_0_3014425,BioLib 1stFl RM-141D.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA146 ACLG SP
510_0_3014426,BioLib 1stFl RM-141D.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA146 AHTG SP
510_0_3014431,BioLib 1stFl RM-141D.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA146 DMPRPOS
510_0_3014439,BioLib 1stFl RM-141D.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA146 SA VP
510_0_3014441,BioLib 1stFl RM-141D.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA146 SUPFLOW
510_0_3014443,BioLib 1stFl RM-141D.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA146 WC ADJ
510_0_3014444,BioLib 1stFl RM-141D.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA146 ZN T
510_0_3014445,BioLib 1stFl RM-141C.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA147 ACLG SP
510_0_3014446,BioLib 1stFl RM-141C.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA147 AHTG SP
510_0_3014451,BioLib 1stFl RM-141C.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA147 DMPRPOS
510_0_3014459,BioLib 1stFl RM-141C.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA147 SA VP
510_0_3014461,BioLib 1stFl RM-141C.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA147 SUPFLOW
510_0_3014463,BioLib 1stFl RM-141C.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA147 WC ADJ
510_0_3014464,BioLib 1stFl RM-141C.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA147 ZN T
510_0_3014465,BioLib 1stFl RM-141E.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA148 ACLG SP
510_0_3014466,BioLib 1stFl RM-141E.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA148 AHTG SP
510_0_3014471,BioLib 1stFl RM-141E.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA148 DMPRPOS
510_0_3014479,BioLib 1stFl RM-141E.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA148 SA VP
510_0_3014481,BioLib 1stFl RM-141E.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA148 SUPFLOW
510_0_3014483,BioLib 1stFl RM-141E.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA148 WC ADJ
510_0_3014484,BioLib 1stFl RM-141E.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA148 ZN T
510_0_3014485,BioLib 1stFl RM-141F.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA149 ACLG SP
510_0_3014486,BioLib 1stFl RM-141F.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA149 AHTG SP
510_0_3014491,BioLib 1stFl RM-141F.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA149 DMPRPOS
510_0_3014499,BioLib 1stFl RM-141F.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA149 SA VP
510_0_3014501,BioLib 1stFl RM-141F.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA149 SUPFLOW
510_0_3014503,BioLib 1stFl RM-141F.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA149 WC ADJ
510_0_3014504,BioLib 1stFl RM-141F.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA149 ZN T
510_0_3014505,BioLib 1stFl RM-131.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA150 ACLG SP
510_0_3014506,BioLib 1stFl RM-131.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA150 AHTG SP
510_0_3014511,BioLib 1stFl RM-131.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA150 DMPRPOS
510_0_3014519,BioLib 1stFl RM-131.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA150 SA VP
510_0_3014521,BioLib 1stFl RM-131.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA150 SUPFLOW
510_0_3014523,BioLib 1stFl RM-131.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA150 WC ADJ
510_0_3014524,BioLib 1stFl RM-131.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA150 ZN T
510_0_3014525,BioLib 1stFl RM-134.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA151 ACLG SP
510_0_3014526,BioLib 1stFl RM-134.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA151 AHTG SP
510_0_3014531,BioLib 1stFl RM-134.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA151 DMPRPOS
510_0_3014539,BioLib 1stFl RM-134.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA151 SA VP
510_0_3014541,BioLib 1stFl RM-134.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA151 SUPFLOW
510_0_3014543,BioLib 1stFl RM-134.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA151 WC ADJ
510_0_3014544,BioLib 1stFl RM-134.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA151 ZN T
510_0_3014545,BioLib 1stFl RM-142A.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA152 ACLG SP
510_0_3014546,BioLib 1stFl RM-142A.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA152 AHTG SP
510_0_3014551,BioLib 1stFl RM-142A.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA152 DMPRPOS
510_0_3014559,BioLib 1stFl RM-142A.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA152 SA VP
510_0_3014561,BioLib 1stFl RM-142A.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA152 SUPFLOW
510_0_3014563,BioLib 1stFl RM-142A.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA152 WC ADJ
510_0_3014564,BioLib 1stFl RM-142A.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA152 ZN T
510_0_3014565,BioLib 1stFl RM-142B.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA153 ACLG SP
510_0_3014566,BioLib 1stFl RM-142B.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA153 AHTG SP
510_0_3014571,BioLib 1stFl RM-142B.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA153 DMPRPOS
510_0_3014579,BioLib 1stFl RM-142B.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA153 SA VP
510_0_3014581,BioLib 1stFl RM-142B.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA153 SUPFLOW
510_0_3014583,BioLib 1stFl RM-142B.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA153 WC ADJ
510_0_3014584,BioLib 1stFl RM-142B.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA153 ZN T
510_0_3014585,BioLib 2ndFl RM-232A.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA154 ACLG SP
510_0_3014586,BioLib 2ndFl RM-232A.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA154 AHTG SP
510_0_3014591,BioLib 2ndFl RM-232A.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 2 VMA154 DMPRPOS
510_0_3014599,BioLib 2ndFl RM-232A.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 2 VMA154 SA VP
510_0_3014601,BioLib 2ndFl RM-232A.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 2 VMA154 SUPFLOW
510_0_3014603,BioLib 2ndFl RM-232A.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 2 VMA154 WC ADJ
510_0_3014604,BioLib 2ndFl RM-232A.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 2 VMA154 ZN T
510_0_3014605,BioLib 1stFl RM-142C.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 2 VMA155 ACLG SP
510_0_3014606,BioLib 1stFl RM-142C.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 2 VMA155 AHTG SP
